,open,high,low,close,volume
2017-12-27,61.28,61.95,59.56,59.79,9301369.0
2017-12-28,61.51,62.89,60.73,62.28,19470147.0
2017-12-29,62.89,64.29,61.01,61.95,13083771.0
2018-01-02,62.42,62.69,61.11,61.75,13109916.0
2018-01-03,61.97,62.67,61.37,62.33,11537511.0
2018-01-04,61.97,64.6,61.97,64.53,18157099.0
2018-01-05,64.54,64.71,63.4,63.88,10951476.0
2018-01-08,63.74,65.73,62.94,64.25,11514029.0
2018-01-09,64.21,66.7,64.02,65.99,13973005.0
2018-01-10,65.98,66.66,64.77,66.58,13369282.0
2018-01-11,66.55,66.84,65.43,65.84,7940085.0
2018-01-12,65.9,67.21,65.61,66.66,8809237.0
2018-01-15,67.21,69.84,67.21,68.32,18329099.0
2018-01-16,67.97,70.64,67.31,68.87,12696674.0
2018-01-17,68.74,69.3,65.61,65.77,13848255.0
2018-01-18,65.37,66.95,64.19,65.85,17852492.0
2018-01-19,65.9,65.95,63.45,63.73,18295226.0
2018-01-22,64.26,66.64,64.21,66.55,14816643.0
2018-01-23,66.52,66.87,65.26,66.2,9334054.0
2018-01-24,66.36,66.42,64.11,64.53,12686857.0
2018-01-25,64.51,64.94,62.6,64.4,11953339.0
2018-01-26,63.83,64.94,63.56,64.76,9350339.0
2018-01-29,64.76,64.76,61.12,61.77,19611831.0
2018-01-30,60.92,62.19,59.79,61.1,15627467.0
2018-01-31,60.42,62.4,60.42,61.31,12424693.0
2018-02-01,60.79,60.79,57.75,59.15,20264918.0
2018-02-02,58.67,59.72,57.73,59.51,13030532.0
2018-02-05,56.62,57.71,53.56,55.83,23828256.0
2018-02-06,53.71,56.65,53.66,55.61,14782018.0
2018-02-07,56.65,57.68,52.0,52.27,15582376.0
2018-02-08,52.27,53.98,51.74,52.99,11577691.0
2018-02-09,51.47,52.06,49.81,52.05,16070559.0
2018-02-12,52.28,55.98,52.28,55.0,13549497.0
2018-02-13,55.18,56.47,54.48,54.61,8400696.0
2018-02-14,55.48,56.0,54.43,55.66,6373074.0
2018-02-22,56.32,58.57,56.32,58.57,8522240.0
2018-02-23,58.58,59.02,57.63,58.07,5666904.0
2018-02-26,58.09,58.76,56.4,57.78,7361538.0
2018-02-27,58.09,58.48,56.37,56.41,6645894.0
2018-02-28,55.25,57.05,53.97,54.83,9839223.0
2018-03-01,54.99,56.41,54.37,55.81,6930123.0
2018-03-02,55.76,56.3,55.19,56.03,5365521.0
2018-03-05,55.62,56.37,53.96,54.16,7159240.0
2018-03-06,54.58,55.05,52.58,54.33,9287181.0
2018-03-07,54.29,55.26,53.74,54.44,6285265.0
2018-03-08,54.46,55.8,54.04,55.7,6292316.0
